symbol,strategy,amount_usd,final_value_usd,profit_usd,roi_pct
BTC,Buy & Hold,1000,1914.13,914.13,91.41
BTC,DCA,1000,1437.91,437.91,43.79
BTC,Buy on Dip,1000,1906.2,906.2,90.62
ETH,Buy & Hold,1000,1929.21,929.21,92.92
ETH,DCA,1000,1931.01,931.01,93.1
ETH,Buy on Dip,1000,2055.25,1055.25,105.53
SOL,Buy & Hold,1000,1745.04,745.04,74.5
SOL,DCA,1000,1589.02,589.02,58.9
SOL,Buy on Dip,1000,1843.93,843.93,84.39
XRP,Buy & Hold,1000,5523.84,4523.84,452.38
XRP,DCA,1000,2550.15,1550.15,155.01
XRP,Buy on Dip,1000,5875.75,4875.75,487.57
ADA,Buy & Hold,1000,2617.19,1617.19,161.72
ADA,DCA,1000,1723.74,723.74,72.37
ADA,Buy on Dip,1000,2861.04,1861.04,186.1
